一魔 滕一雷
追魂鞭 过彦之
一阵风 风波恶
十方秀才 全冠清
铁面判官 单正
追魂杖 谭青
聪辩先生 苏星河
蛟王 不平道人
非也非也 包不同
剑神 卓不凡
芙蓉仙子 崔绿华
星宿老怪 丁春秋
冰雪神剑 闵柔
风火神龙 封万里
气寒西北 白万剑
着手回 春贝海石
白鲸岛主 大悲老人
一飞冲天 庄震中
寒梅女侠 花万紫
摩天居士 谢烟客
威德先生 白自在
一日不过三 丁不三
一日不过四 丁不四
辽东鹤 范一飞
紫金刀 吕正平
东霸天 司徒横
飞蝗刀 高三娘子
双笔 吴道通
金刀 安奉日
江府银戟 杨光
黄河老祖 祖千秋
君子剑 岳不群
六猴儿 陆大有
托塔手 丁勉
仙鹤手 陆柏
大嵩阳手 费彬
九曲剑 钟镇
神鞭 邓八公
锦毛狮 高克新
嵩山十三太保 汤英鹗
白头仙翁 卜沉
秃鹰 沙天江
千丈松 史登达
潇湘夜雨 莫大先生
金眼雕 鲁连荣
天王老子 向问天
大力神魔 范松
飞天神魔 赵鹤
金猴神魔 张乘风
白猿神魔 张乘云
雕侠 上官云
黄面尊者 贾布
圣姑 任盈盈
余矮子 余沧海
乾坤一剑 震山子
中州大侠 金刀无敌 王元霸
青海一枭 麻衣汉子
雁荡高人 何三匕
老爷 老头子
祖宗 祖千秋
无计可施 计无施
杀人名医 平一指
银髯蛟 黄伯流
万里独行 田伯光
双蛇恶丐 严三星
塞北明驼 木高峰
油浸泥鳅滑不留手 游迅
一字电剑 丁坚
五路神 施令威
狂风快剑 封不平
宁女侠 宁中则
双笔开山 王潭
黑龙鞭 史松
摩云手 吴大鹏
关夫子 关安基
虎面霸王 雷一啸
圣手居士 苏冈
铁背苍龙 柳大洪
摇头狮子 吴立身
少一划 于八
青毛虎 敖彪
金枪王 王武通
八臂猿猴 徐天川
一剑无血 冯锡范
神拳无敌 归辛树
铁丐 吴六奇
十足真金 贾金刀
铁掌无敌 瑞栋
八面威风 冯难敌
西江神蛟 罗超兴
快马 宋三
吴才子 吴梅村
美刀王 胡逸之
满洲第一勇士 鳌拜
西川双侠 常赫志,常伯志
天山双鹰 陈正德,关明梅
钱塘四艳 卞文莲,李双亭,吴婵娟,玉如意
江左三大家 蒋士铨,袁枚,赵翼
神拳无敌 归辛树,归二娘夫妇
太白三英 史秉光,史秉文,黎刚
独步江南 温方达,温方义,温方山,温方施,温方悟
江南七怪 柯镇恶,朱聪,韩宝驹,南希仁,张阿生,全金发,韩小莹
飞天蝙蝠 柯镇恶
妙手书生 朱聪
马王神 韩宝驹
南山樵子 南希仁
笑弥陀 张阿生
闹市隐侠 全金发
越女剑 韩小莹
全真七子 马钰,丘处机,孙不二,郝大通,刘处玄,谭处端,王处一
丹阳子 马钰
长春子 丘处机
清静散人 孙不二
广宁子 郝大通
长生子 刘处玄
长真子 谭处端
玉阳子 王处一
黄河四鬼 沈青刚,吴青烈,马青雄,钱青健
断魂刀 沈青刚
追命枪 吴青烈
夺魄鞭 马青雄
丧门釜 钱青健
黑风双煞 陈玄风,梅超风
铜尸 陈玄风
铁尸 梅超风
四大功臣 博尔忽,博尔术,赤老温,木华黎
西山一窟鬼 长须鬼,吊死鬼,煞神鬼,无常鬼,讨债鬼,俏鬼,大头鬼,丧门鬼,笑脸鬼

